user_id,team,org_unit,event_date,session_count,actions_taken,first_login_date
USR0001,Org-Delta-Team1,Org-Delta,2025-10-12,7,10,2025-10-12
USR0001,Org-Delta-Team1,Org-Delta,2025-10-14,3,34,2025-10-12
USR0002,Org-Gamma-Team4,Org-Gamma,2025-10-23,6,29,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-10-26,3,4,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-10-28,3,33,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-10-29,7,28,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-11-01,5,37,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-11-02,4,28,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-11-04,2,34,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-11-05,3,14,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-11-06,1,15,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-11-07,2,30,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-11-08,7,25,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-11-09,6,28,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-11-10,2,7,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-11-11,6,2,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-11-12,3,35,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-11-13,4,39,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-11-14,5,13,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-11-15,1,16,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-11-16,1,37,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-11-18,1,21,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-11-19,5,1,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-11-23,6,26,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-11-27,7,33,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-11-28,3,2,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-11-29,7,31,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-11-30,1,19,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-12-01,8,6,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-12-03,4,14,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-12-07,6,29,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-12-09,6,40,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-12-11,7,16,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-12-12,2,10,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-12-13,8,7,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-12-15,5,36,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-12-19,8,21,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-12-20,5,11,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-12-21,6,23,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-12-22,3,30,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-12-23,8,17,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-12-25,3,8,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-12-27,6,19,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-12-28,3,29,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-12-29,6,24,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-12-30,7,33,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2025-12-31,1,40,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-01-02,4,36,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-01-03,2,19,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-01-04,7,5,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-01-05,8,6,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-01-06,8,35,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-01-08,2,12,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-01-13,6,5,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-01-14,8,14,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-01-16,5,30,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-01-17,3,31,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-01-18,4,21,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-01-19,7,4,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-01-21,7,31,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-01-22,4,2,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-01-25,3,6,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-01-26,5,26,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-01-27,8,27,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-01-28,5,12,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-01-30,7,22,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-02-01,4,23,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-02-03,3,28,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-02-04,7,1,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-02-05,4,5,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-02-07,3,21,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-02-13,8,10,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-02-14,6,8,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-02-17,1,29,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-02-22,1,14,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-02-24,3,39,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-02-25,6,14,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-02-28,1,24,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-03-02,5,33,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-03-04,8,30,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-03-05,6,23,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-03-07,6,8,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-03-09,6,12,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-03-10,3,35,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-03-11,5,28,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-03-16,2,7,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-03-17,1,40,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-03-19,2,29,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-03-20,1,19,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-03-22,8,36,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-03-23,4,31,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-03-25,8,27,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-03-29,6,15,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-03-30,5,17,2025-10-23
USR0002,Org-Gamma-Team4,Org-Gamma,2026-03-31,7,16,2025-10-23
USR0003,Org-Gamma-Team2,Org-Gamma,2025-10-01,1,2,2025-10-01
USR0003,Org-Gamma-Team2,Org-Gamma,2025-10-02,6,34,2025-10-01
USR0003,Org-Gamma-Team2,Org-Gamma,2025-10-04,6,11,2025-10-01
USR0003,Org-Gamma-Team2,Org-Gamma,2025-10-07,7,13,2025-10-01
USR0003,Org-Gamma-Team2,Org-Gamma,2025-10-09,1,37,2025-10-01
USR0003,Org-Gamma-Team2,Org-Gamma,2025-10-10,7,12,2025-10-01
USR0003,Org-Gamma-Team2,Org-Gamma,2025-10-11,6,34,2025-10-01
USR0003,Org-Gamma-Team2,Org-Gamma,2025-10-12,4,7,2025-10-01
